k,silhouette,inertia
2,0.3432356203274449,9254.827299170998
3,0.32325861700407205,8075.317307719102
4,0.2781662065979233,7344.33568351026
5,0.15645382254177675,6810.1567891865125
6,0.1604356733183023,6328.729356690456
